year,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled
0.03999999999999204,8.836363659535364e-13,0.2820450754715965,0.34134932073037894,0.5245454545454545,0.6151468684874957,0.36109578333060566,0.47162848419258224,0.588480034674661,0.4990663222293158,0.49650746914708266,0.5758928571428572,0.5016789811771195
0.03999999999999204,1.477000030469903e-11,0.6131135890514312,0.3667880972557848,0.28909090909090907,0.29005924587499365,0.27994479453881327,0.39557684186543013,0.5188924609653779,0.5203377776941649,1.0,0.6651785714285714,0.6297211330719372
0.03999999999999204,1.1136363363636385e-07,0.5394106205850137,0.3634699959698623,0.3418181818181818,0.5997718895606414,0.3740568773081641,0.1227463805696685,0.3373940167485246,0.35522239447809667,0.8000000000000002,0.9330357142857142,0.7777866688005122
0.03999999999999204,1.1136363363636385e-07,0.49809233321438984,0.7782326567101754,0.8809090909090909,0.37159322503255415,0.4387495330317416,0.2591616112175493,0.21501054839738123,0.36399295755885774,0.4,0.9330357142857142,0.5554733135952629
0.0799999999999983,4.999999972727285e-07,0.6829471805493093,0.4099234139727774,0.9609090909090908,0.48946806347177024,0.3660533391024861,0.45014293412458256,0.5243463466151019,0.36513694404765273,1.0,0.9776785714285714,0.05888413219172601
0.0799999999999983,3.863636336363646e-07,0.27654709506256736,0.8689274251920571,0.6781818181818182,0.72300467520164,0.9212055737495819,0.38875608033303616,0.23080371840017344,0.4684770568687947,0.6,0.40624999999999994,0.5016786678894775
0.0799999999999983,6.817908938501281e-11,0.40759769531644185,0.3789544686375007,0.3627272727272728,0.5662264809929594,0.3746836226649126,0.4910675033189467,0.6317344629658904,0.2797192862176313,0.4,0.5008611147230213,0.2715051612386973
0.0799999999999983,5.451818440799003e-12,0.7661445605624115,0.7185068335635703,0.8481818181818181,0.3756579379812941,0.4462078027770484,0.11592561903727447,0.18492918326003077,0.30755629077830793,0.20000000000000007,0.04017857142857145,0.6773025526126271
0.0799999999999983,1.8181817909090949e-07,0.2665444668394178,0.7760205891862271,0.7454545454545454,0.27532238806786863,0.3872937392426919,0.4637844571893706,0.2863476194461985,0.3098442637558978,1.0,0.7410714285714284,0.30750380091221896
0.0799999999999983,1.8181817909090949e-07,0.42777620744789957,0.5570259043153418,0.43454545454545457,0.5700702257246729,0.5024707334523589,0.2591616112175493,0.2747562374435354,0.21794401582270506,0.6,0.36160714285714285,0.9478874929983195
0.11999999999999034,2.2727272454545508e-07,0.23210123662991192,0.5249509252180908,0.5035473136117109,0.3063660417065057,0.31622081578741496,0.34101074960627786,0.3280831180155352,0.24311171857619351,0.6,0.41964285714285715,0.9288629271025046
0.11999999999999034,4.090909063636374e-07,0.4278801608589946,0.45416476445174414,0.4236363636363636,0.2434684006421019,0.27194125633313526,0.17731247282882084,0.35084952257202373,0.7079515618565333,0.20000000000000007,0.40178571428571425,0.6643794510682564
0.11999999999999034,1.0451818413705835e-11,0.29338754765997166,0.6156456936999727,0.5000345261565635,0.5327975495383596,0.5142369812725771,0.08182181137530425,0.1889273393858812,0.35712903862608825,0.20000000000000007,0.03125,0.9307933904136992
0.11999999999999034,7.727000419932194e-11,0.7596878986955055,0.5813586470787735,0.45272727272727276,0.5018146374584865,0.4699551843442481,0.17049171129642682,0.22996056982941587,0.7056635888789434,0.8000000000000002,0.9375,0.38674281827638635
0.11999999999999034,4.3181817909091016e-07,0.5303204723036987,0.6941740908001386,0.4036363636363637,0.5594708084341901,0.5898390361830962,0.5047090263837348,0.3053362388324091,0.41356570540663806,0.0,0.25892857142857145,0.5016147851377238
0.11999999999999034,9.318181790909115e-07,0.4965818152138374,0.7085525297058028,0.1727272727272727,0.538621405192471,0.5721606561942816,0.3112771988970988,0.2507800580482103,0.4998114019605495,0.6,0.20982142857142855,0.39467472193326397
0.1599999999999966,1.7727272700000047e-06,0.6826122195580029,0.35572775963604314,0.052727272727272734,0.4813146655560142,0.33368820887999495,0.37511455726824805,0.5971291071101741,0.3144202097110775,1.0,0.49377150223305183,0.3027826678402817
0.1599999999999966,8.409090881818203e-07,0.605224680187215,0.3822725699234232,0.8272727272727273,0.47733083348375976,0.3335315225408078,0.3069069419443076,0.46813644189793113,0.6801145572958567,0.4,0.16517857142857145,0.2211730815395695
0.1599999999999966,3.636336282356341e-10,0.5029988981142951,0.39333290754316486,0.3936363636363637,0.7233541065408867,0.4419459343511588,0.5971279220867742,0.6406736510386535,0.5000744883390265,0.20000000000000007,0.7053571428571428,0.6467252140513723
0.1599999999999966,3.1815455527480895e-11,0.38773104341826947,0.34134932073037894,0.3854545454545455,0.6512547735429868,0.3705784405782101,0.45696369565697653,0.7371099020832577,0.7826920124578021,0.20000000000000007,0.8348214285714284,0.8549751940465712
0.1599999999999966,2.499999997272734e-06,0.4518587476849283,0.809201602045452,0.9790909090909091,0.43984881329874054,0.5288567129714696,0.4296806495274004,0.25172830873682345,0.4543678901736572,0.5018542856602182,0.90625,0.32801872449387853
